StoryID	Title	Link	pubDate	PostNumLink	Story	NationalSociety	CountryCode	Language	Submitter	Image	Video	EmbedCode	City	Region	Latitude	Longitude
	Heal the psychological wounds	http://future-rcrc.com/testimonial/heal-the-psychological-wounds/	Fri, 03 Apr 2020 08:49:44 +0000	http://future-rcrc.com/?post_type=wpm-testimonial&p=217808	<strong>Psycho Social Support</strong> Right now, it’s easy to feel isolated, lonely, scared, and frustrated. You’re likely asking, “When’s all this Coronavirus stuff going to end?” “When can I get back to the way things were just last month?” Right now, it feels like life is uncertain, but one thing is undeniable (whether we acknowledge it or not), the need for human connection – even in a world of self-isolation and quarantine. And here’s how different RCs are enabling connections and social linkages between people who are isolated. Inspired by the actions of the Italian Red Cross implemented during the first weeks of the crisis, the <strong>French Red Cross</strong> has set up an exceptional solidarity concierge system: «Red Cross Chez Vous». Anyone confined to social isolation can call 7 days a week from 8am to 8pm on 09 70 28 30 00 to benefit from a warm and reassuring support from a professional psychological help; reliable information on the situation - the possibility of ordering basic necessities (food, hygiene and maintenance products, medicines that Red Cross volunteers will deliver to them safely the next day. <strong>Australia</strong> offers a volunteer phonecall service called Telecross, which is a daily phone call from a volunteer to check on the wellbeing of those experiencing vulnerability, increasing our response with this to meet the needs of those vulnerable and in quarantine. This is implemented through technical systems that allow for telephone outreach to be conducted by Red Cross people working remotely. And finally, not just limited to those isolated or vulnerable, the <strong>American RC</strong> recognising that even us as Red Crossers need the same social support, initiated Project Wellness where Red Crossers call other Red Crossers to see how they’re doing. This is a purely optional volunteer and employee activity for those working remotely to join in if so inclined. This activity to make calls may be conducted at one’s convenience; there’s no deadline. The ask is simple. Receive a list of volunteers to call and say, “Hi, this is ____, and I just want to see how you’re doing”…and let the conversation take it from there. It’s like calling your Aunt Betty in another state. If you enjoy talking on the phone, this can break up the stretch of undetermined ‘at home’ days, and encourage team building and experience sharing.	 										
	People want to know that you care	http://future-rcrc.com/testimonial/people-want-to-know-that-you-care/	Fri, 03 Apr 2020 08:55:02 +0000	http://future-rcrc.com/?post_type=wpm-testimonial&p=217812	<strong>Community Engagement</strong> Going a step beyond offering psycho-social support, how can communities also be gainfully engaged that enables a wider range of services and a cross collaboration of likeminded to stay active and contribute meaningfully during this crisis? How can the crises help in rethinking engagement of volunteers? <strong>Austria</strong> is scaling up activities and increasing its volunteer base via the <a href="https://www.teamoesterreich.at/corona/">Online platform “Team Österreich”</a>. The platform has been created by the Red Cross and the Austrian broadcasting station Ö3 in 2007 and has around 65.000 members all over the country. Now, TÖ is bringing together short time (spontaneous) volunteers and people or institutions in need of help. Over 3.000 people have registered in the last days offering their support for people in quarantine or the elderly. 200 "Team Österreich" members have so far supported the national telephone hotline. In addition, helpers are available and connected with elderly people/people in home quarantine to do the necessary shopping. <a href="https://webapp.teamoesterreich.at/index.html">Via the online platform</a> also elderly people or people in quarantine can register and ask for help. Support will be organised and coordinated over the platform. In <strong>Switzerland</strong>, The<strong> App</strong><a href="http://www.fiveup.org/"> Five up</a> is available as a matching platform for volunteers and people in need of services facilitating neighbourhood services. Launched by the Swiss RC and SGG, the ap registered an unprecedented surge in use in the previous week (more than 1800 matches were facilitated, 40’000 times downloaded in late March). In<strong> Denmark</strong>, the Danish Red Cross Youth (DRCY) has initiated ways to engage young people through <strong>#CoronaVenner (CoronaFriends)</strong> reaching out to children and youth in special need of social, structural and homework support in order to make their current life at home manageable. Corona Friends offers services through local activities and at national levels, 1:1 online relations or online groups sessions focusing on the individual child's needs - whether it is a daily wakeup call, some structural support to get through the day, online social gathering through music, gaming, videos etc. or homework support/tutoring and will be matched with the most suitable volunteer. The CoronaFriends initiative has received a donation from the Tuborg Foundation on 500.000 DKK. And extending the types of support to young people amidst the crises, DRCY shared online video tutorials on how to easily edit videos and tell stories via mobile phones. This allows young people to document experiences and ideas on handling the coronavirus challenge, while developing a relevant skill such as videomaking and storytelling through participatory media. Links to tutorials (in English): <ul>   <li>Introduction to the 4 videos:<a href="https://vimeo.com/399842748/4283015ffa"> https://vimeo.com/399842748/4283015ffa</a></li>   <li>What to think about before making a video with your mobile.  <a href="https://vimeo.com/401814940/fbff2c8266">https://vimeo.com/401814940/fbff2c8266</a></li>   <li>7 tips when shooting videos with your mobile phone:  <a href="https://vimeo.com/400244802/27753cda0f">https://vimeo.com/400244802/27753cda0f</a></li>   <li>How to edit your video on your mobile with KineMaster app (free):<a href="https://vimeo.com/400900796/fb4a7ccec5"> https://vimeo.com/400900796/fb4a7ccec5</a></li>   <li>How to edit your video on your mobile with the Adobe Rush app (subscription):<a href="https://vimeo.com/400904844/caf1b57540"> https://vimeo.com/400904844/caf1b57540</a></li> </ul>	 										
	A coffee filter as a mask	http://future-rcrc.com/testimonial/a-coffee-filter-as-a-mask/	Fri, 03 Apr 2020 09:23:55 +0000	http://future-rcrc.com/?post_type=wpm-testimonial&p=217836	Medhi is homeless and suffers from lung cancer when the round of the French Red Cross meets him. He fears for his life and the lives of others, which is why he made a makeshift mask for himself, using a coffee filter, taped to his skin. Volunteers of the French Red Cross, learning of his condition, exercise extra caution and fear of contaminating him. They know it would be fatal to him. "the marginalized are even more marginalized" confirms Mehi, seated on a bench, in a deserted city that resounds with a macabre silence. https://www.facebook.com/757915144314007/videos/2975020585853934/ Fortunately, a bit later, when our two Red Cross volunteers help another homeless man, this silence is broken by the thousands of applause in honor of the medical staff.	Croix-Rouge Française	FR	English	Hugo Clement		https://www.facebook.com/757915144314007/videos/2975020585853934	<div id=""fb-root""></div><script async=""1"" defer=""1"" crossorigin=""anonymous"" src=""https://connect.facebook.net/en_GB/sdk.js#xfbml=1&amp;version=v6.0""></script><div class=""fb-video"" data-href=""https://www.facebook.com/757915144314007/videos/2975020585853934"" data-width=""1080""><blockquote cite=""https://www.facebook.com/757915144314007/videos/2975020585853934/"" class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/757915144314007/videos/2975020585853934/"">#SurLeFront du confinement : la Croix-Rouge vient en aide aux sans abris</a><p>&quot;S&#039;ils sont contaminés, ils sont condamnés&quot; Les sans-abri très vulnérables face au coronavirus. Reportage en première ligne avec la Croix-Rouge qui leur vient en aide durant cette période de crise. Pour les aider, partagez et rendez-vous sur : www.soutenir.croix-rouge.fr#SurLeFront francetv slashPS : Pour nous donner un peu d&#039;espoir et des bonnes nouvelles, nous cherchons les témoignages vidéo de gens qui ont guéri du covid-19. Envoyez-nous ça à contacthugoclement&#064;gmail.com Merci !</p>Posted by <a href=""https://www.facebook.com/Hugo-Cl&#xe9;ment-757915144314007/"">Hugo Clément</a> on Monday, 23 March 2020</blockquote></div>			46.227638	2.213749
	How can they stay at home, if they don't have one?	http://future-rcrc.com/testimonial/how-can-they-stay-at-home-if-they-dont-have-one/	Mon, 06 Apr 2020 10:17:39 +0000	http://future-rcrc.com/?post_type=wpm-testimonial&p=217916	My name is Robin, I am 30 years old and a volunteer of the Swiss Youth Red Cross. I was volunteering with refugees in Calais, France and due to the COVID-19 curfew I had to stop the work and leave the country. In the current situation, most of the people show solidarity within the society they live, but we should not forget these people who don't fit in, who don't have the same opportunities. How can they stay at home, if they don't have one? How can they wash their hands, if there is no water and no soap? How can they keep physical distance, if there is not enough place for it?	Croix-Rouge Suisse	CH	English	Robin Fries						46.818188	8.227512
	This virus brought people together much more than it separated them	http://future-rcrc.com/testimonial/this-virus-brought-people-together-much-more-than-it-separated-them/	Sun, 05 Apr 2020 15:18:14 +0000	http://future-rcrc.com/?post_type=wpm-testimonial&p=217919	First of all, thank you for the opportunity to share experiences. My experience is very particular because I am creating a youth group in the midst of this confusion related to this pandemic. In fact, the experience is being positive, after some attempts to gather a young group of volunteers, contrary to what I thought, I was more easily able to gather a good group of volunteers who joined for this purpose. I learned that this virus brought people together much more than it separated them, and united them for a cause, for a common purpose. That makes me very satisfied and proud. Volunteering in this situation made me feel truly useful as I had never felt in any previous volunteering. In the region where I am, the red cross was getting erased, and despite the whole situation, we are managing to reactivate the volunteering of the local red cross, with this return to the origins, where we gathered the community to help in times of war. We are achieving with our work aimed at the elderly and vulnerable to transmit hope and confidence to overcome this phase. We continue to try daily to provide support in all needs so that people can feel supported. The main challenge to deal with is fear, ours and that of the people we support, however, we must continue to transmit security.	Spanish Red Cross	ES	English	Helena P. Pereira						40.463667	-3.74922
	Pienso que este problema me ayudará a ser mejor persona	http://future-rcrc.com/testimonial/this-problem-will-help-me-to-be-a-better-person/	Mon, 06 Apr 2020 12:18:09 +0000	http://future-rcrc.com/?post_type=wpm-testimonial&p=217920	Me llamo Alejandro, tengo 17 años y soy voluntario en Socorros de Cruz Roja Española en La Rioja. En estas últimas semanas, el contagio del coronavirus ha supuesto para nosotros una prioridad a la hora de ayudar a los ciudadanos, tanto mediante el reparto de alimentos como el cuidado de los más necesitados. En el día a día el coronavirus me ha supuesto la concienciación de llevar a cabo las correctas medidas higiénicas que se nos han sido recomendadas para frenar el contagio y ser conscientes de que hay que quedarse en casa para protegerme a mí y a los demás. Más allá de los puntos negativos que pueda suponer esta pandemia a nivel mundial, han salido a la luz el carácter voluntario de todas las personas que estamos combatiendo al virus. Como voluntario y ciudadano, el principal desafío ha sido concienciar a la gente de que se quede en sus casas para no propagar la enfermedad y con ello evitar más contagios. Además, ha sido importante y vital la capacidad de respuesta tan rápida que han tenido Cruz Roja ante esta pandemia. Personalmente, pienso que este problema me ayudará a ser mejor persona y que entre todos, seamos o no parte del personal sanitario podremos aportar nuestra ayuda para acabar con el COVID-19.	Spanish Red Cross	ES	Spanish	Alejandro Caballero						40.463667	-3.74922
	Vamos a ganarle el reto al virus porque no vamos a dejar de luchar.	http://future-rcrc.com/testimonial/vamos-a-ganarle-el-reto-al-virus-porque-no-vamos-a-dejar-de-luchar/	Mon, 06 Apr 2020 12:21:23 +0000	http://future-rcrc.com/?post_type=wpm-testimonial&p=217921	Arratsalde On! La vida de todos se ha movido de sitio desde la irrupción del Covid-19. Desde el primer día que me quedé en casa, comencé a planear cómo poder ayudar. Enseguida las redes vecinales se pusieron en marcha y la prudencia ante los contagios con ellas. Si colaborar trae como consecuencia más ayuda para los voluntarios que se exponen, no haríamos sino agrandar el problema.Había que racionalizar. En cuanto escuché en radio la puesta en marcha de Guztion Artean, llamé para ofrecerme como voluntaria a cualquier servicio que fuera necesario y pronto fuí convocada por Cruz Roja para participar. Sólo necesitaba mis ganas y mi tiempo, y empezar a compartir para combatir. Así llegué a la sede, con nervios, mascarilla y toda la ilusión y ganas del mundo. Y así comenzamos, mi compañero Juan Carlos y yo a acercarnos todos los días a los Mercadona de Vitoria para hacer recogida de alimentos con los que paliar la pobreza de medios de nuestros conciudadanos. Pobreza que era puntual, o no existía, y que con la pandemia en un tris se hizo endémica. Esta es la oportunidad de pasar de los pensamientos a las palabras y, de éstas a los hechos. La mascarilla pica, hay que madrugar, a veces no recibimos tanto como quisiéramos... pero la satisfacción de ser de los pocos andantes callejeros que luchan contra el Covid-19, dan por bueno cualquier esfuerzo que parezca vano. Vamos a ganarle el reto al virus porque no vamos a dejar de luchar. Hasta que no queden fuerzas y hasta que nos quede vida y dignidad. Cada uno con lo que pueda, deba y sea capaz. Para que una adversidad no taje nuestros sueños. Para que todo vuelva a la normalidad. Jo-Ta-Ke!	Spanish Red Cross	ES	Spanish	Amelia Rubio Irisarri						40.463667	-3.74922
	Ser voluntario De la Cruz roja ha servido para sentirme útil	http://future-rcrc.com/testimonial/ser-voluntario-de-la-cruz-roja-ha-servido-para-sentirme-util/	Mon, 06 Apr 2020 12:22:46 +0000	http://future-rcrc.com/?post_type=wpm-testimonial&p=217922	Para mi esta situación mundial ha sido un poco de todo, miedo de contagiarme, tristeza por tantas muertes, desespero por el encierro, ha sido una gran oportunidad para poder aportar mi granito de arena. Ser voluntario De la Cruz roja ha servido para sentirme útil en estos momentos que más se necesita de mi colaboración, de que hay muchas personas que están necesitando de nuestro apoyo y me me enorgullece poder tide de laguna manera, por otra parte también podemos ayudar quedándonos en casa para evitar que se si ha propagando el virus. Mi vida diaria ha cambiado desde que empezó esto, no se puede hacer una vida normal sin poder salir de casa, pero confiando en Dios ya esto para y tendremos un vida normal de nuevo.	Spanish Red Cross	ES	Spanish	Ahmed Ammar Youssef Nasser						40.463667	-3.74922
	Que todos estos aplausos y gestos de solidaridad se conviertan en parte de nuestras vidas	http://future-rcrc.com/testimonial/que-todos-estos-aplausos-y-gestos-de-solidaridad-se-conviertan-en-parte-de-nuestras-vidas/	Mon, 06 Apr 2020 12:29:04 +0000	http://future-rcrc.com/?post_type=wpm-testimonial&p=217923	Arratsalde on, Aquí os envio mi experiencia: Desde siempre había querido ayudar a la gente pero nunca parecía encontrar el tiempo. Ahora estaba en desempleo y le estaba dando vueltas a la posibilidad de colaborar, cuando la pandemia del Covid-19 estalló y tuve claro que algo tenía que hacer. He sido muy afortunado de haber convivido mucho con mis mayores, que vivieron tiempos mucho más duros y siempre admiré su capacidad de sufrimiento, su optimismo como relativizar lo que no es importante. Y este virus es especialmente cruel con ellos, por lo que poder ayudar a estas personas que viven solas es perfecto para mí. Espero sinceramente que esta crisis nos haga ver las injusticias y las diferencias que existen en la sociedad. Que todos estos aplausos y gestos de solidaridad se conviertan en parte de nuestras vidas, de nuestro modo de ver la realidad. Tengo dos hijos preadolescentes y espero que lo que yo haga les sirva de ejemplo para ser más generosos, más abiertos a otra gente y que no den su bienestar por hecho. Y que sirva para darse cuenta de que el ser humano es insignificante ante un virus o ante la naturaleza, y que tomen conciencia de que tenemos que cuidar de los demás y del planeta. Lo que más me gusta de mi labor es poder charlar con las personas que se encuentran solas, creo que es la labor más necesaria y la más bonita.	Spanish Red Cross	ES	Spanish	Arkaitz Errasti Chinchurreta 						40.463667	-3.74922
	Intentar ayudar a situaciones peores que las mías, y sentirse útil	http://future-rcrc.com/testimonial/217924/	Mon, 06 Apr 2020 12:30:29 +0000	http://future-rcrc.com/?post_type=wpm-testimonial&p=217924	Hola, <ol>   <li>La experiencia de voluntariado que acabo de comenzar me ha sido muy grata. Algo nuevo para mi, que nunca había realizado. Vengo del mundo de la administración, el comercio, la economía de empresa, etc...aunque sí tienen en común el contacto continuo con gente, es otro mundo.</li>   <li>Totalmente y absolutamente. Me ha sacado de la rutina, como ha mucha gente muy activa. He pasado de mucha actividad física y mental, a un parón obligado e inesperado en el que nos  miramos impotentes porque no sabemos como combatir. Ahora hay una adaptación a esta inactividad que no viene mal para reflexionar de otra manera.</li>   <li>Que nada se puede dar por hecho. Por muy previsores que seamos, puede haber una fuerza mayor que nos tire la baraja de cartas montadita.</li>   <li>Pues esto del voluntariado, e intentar calmar a mi familia y amigos. Y resolver pequeños problemas que van surgiendo porque tu medio de ganarte la vida se ha modificado.</li>   <li>Intentar ayudar a situaciones peores que las mías, y sentirse útil.</li>   <li>Que todos estamos interconectados aunque pensemos que somos independientes. Pero no es así. Y corresponde a todos crear esperanza de que lo superaremos, sin alarmismos. Porque el miedo es peor que cualquier virus.</li> </ol> Saludos	Spanish Red Cross	ES	Spanish	Blanca Vázquez Fernández						40.463667	-3.74922
